               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.074648,             0.02777,                   0,             0.21648,                 0.4,             0.15306,            0.030748,            0.062411,            0.028374,                   0,           0.0024751,           0.0024751,            0.072175
                  38,            0.074256,            0.026859,                   0,             0.35234,             0.41353,             0.27097,            0.063984,            0.059293,            0.028605,                   0,            0.002525,            0.002525,            0.071425
                  39,            0.073436,            0.030425,                   0,             0.55702,                0.28,             0.31666,            0.076445,            0.056789,            0.028771,                   0,           0.0025742,           0.0025742,            0.070674
                  40,            0.070101,            0.028452,                   0,             0.42546,                0.36,             0.30544,            0.066048,            0.057603,            0.027453,                   0,           0.0026225,           0.0026225,            0.069923
                  41,            0.069974,            0.027482,                   0,             0.33932,                 0.4,             0.31389,            0.072482,            0.054948,            0.026971,                   0,           0.0026701,           0.0026701,             0.06917
                  42,            0.066886,            0.026525,                   0,              0.5779,             0.21911,             0.27298,            0.046966,            0.059801,            0.024428,                   0,           0.0027169,           0.0027169,            0.068417
                  43,            0.067226,             0.02492,                   0,             0.41853,             0.35989,             0.33847,            0.092846,            0.054763,            0.023831,                   0,           0.0027629,           0.0027629,            0.067663
                  44,            0.065711,            0.023435,                   0,             0.47895,                0.24,             0.24034,            0.034266,            0.059527,            0.022247,                   0,           0.0028081,           0.0028081,            0.066908
                  45,            0.066559,             0.02268,                   0,             0.47195,                0.34,             0.35489,             0.10536,            0.052232,            0.022692,                   0,           0.0028525,           0.0028525,            0.066153
                  46,            0.066444,            0.022006,                   0,             0.36445,                0.52,             0.41164,            0.092882,             0.05161,            0.022304,                   0,           0.0028961,           0.0028961,            0.065396
                  47,            0.064641,            0.023804,                   0,             0.40841,                0.54,             0.42858,             0.11365,            0.049962,            0.021596,                   0,            0.002939,            0.002939,            0.064639
                  48,            0.065299,            0.022471,                   0,             0.52842,                0.54,             0.50322,             0.12191,             0.05276,            0.020297,                   0,            0.002981,            0.002981,            0.063881
                  49,            0.062683,              0.0196,                   0,             0.35754,                0.48,             0.27511,            0.047928,            0.058179,            0.018259,                   0,           0.0030222,           0.0030222,            0.063122
                  50,            0.063694,            0.020077,                   0,             0.46852,                 0.6,             0.49501,              0.1321,            0.049767,            0.019574,                   0,           0.0030627,           0.0030627,            0.062363
                  51,            0.064361,            0.019125,                   0,             0.44765,                0.46,             0.32681,            0.066616,            0.052195,            0.020095,                   0,           0.0031023,           0.0031023,            0.061602
                  52,            0.060431,             0.02099,                   0,             0.47247,                0.52,             0.42276,             0.13043,             0.04929,            0.019228,                   0,           0.0031412,           0.0031412,            0.060841
                  53,            0.060129,            0.018292,                   0,             0.47363,                0.58,             0.43182,             0.11429,            0.047367,            0.019611,                   0,           0.0031793,           0.0031793,            0.060079
                  54,            0.063435,            0.020241,                   0,             0.65036,                0.56,             0.56961,             0.16455,            0.049178,             0.01864,                   0,           0.0032166,           0.0032166,            0.059317
                  55,            0.056871,            0.020904,                   0,             0.76692,             0.59239,             0.64348,             0.19735,            0.045715,            0.017921,                   0,            0.003253,            0.003253,            0.058553
                  56,            0.055394,            0.019081,                   0,             0.53569,                 0.6,             0.56545,             0.20716,            0.046345,            0.017945,                   0,           0.0032887,           0.0032887,            0.057789
                  57,            0.058386,            0.020144,                   0,             0.54535,             0.59974,             0.48128,             0.11877,            0.050612,            0.016786,                   0,           0.0033236,           0.0033236,            0.057024
                  58,            0.058383,            0.019491,                   0,             0.58809,                 0.6,             0.55294,             0.16479,            0.045899,            0.017915,                   0,           0.0033578,           0.0033578,            0.056258
                  59,            0.060017,            0.018424,                   0,             0.77038,                0.54,             0.63071,             0.18154,            0.046612,            0.018125,                   0,           0.0033911,           0.0033911,            0.055491
                  60,            0.058019,            0.019509,                   0,             0.76655,             0.45971,             0.55692,             0.17441,            0.046769,            0.017812,                   0,           0.0034236,           0.0034236,            0.054724
                  61,            0.054678,            0.018663,                   0,             0.46571,                0.68,             0.49943,             0.17032,            0.043314,            0.017307,                   0,           0.0034553,           0.0034553,            0.053955
                  62,            0.051953,            0.017679,                   0,             0.49858,             0.61652,             0.47456,             0.12225,            0.047922,            0.016839,                   0,           0.0034863,           0.0034863,            0.053186
                  63,            0.060159,              0.0194,                   0,             0.66648,             0.51957,             0.52832,             0.15688,            0.044517,            0.018608,                   0,           0.0035164,           0.0035164,            0.052416
                  64,            0.058899,            0.021035,                   0,             0.46271,             0.49949,             0.40463,            0.086743,            0.052047,            0.016287,                   0,           0.0035458,           0.0035458,            0.051646
                  65,            0.057757,            0.018456,                   0,             0.60371,             0.63982,             0.61521,             0.24606,            0.043495,            0.017103,                   0,           0.0035744,           0.0035744,            0.050874
                  66,            0.062297,            0.018203,                   0,             0.54597,             0.69749,             0.64568,             0.15871,            0.045842,            0.017231,                   0,           0.0036022,           0.0036022,            0.050102
                  67,            0.059744,            0.017465,                   0,             0.64831,                0.52,             0.59426,             0.21728,            0.046001,            0.017531,                   0,           0.0036291,           0.0036291,            0.049329
                  68,            0.053371,            0.018719,                   0,             0.56314,             0.61876,             0.62843,             0.20316,            0.043996,            0.016536,                   0,           0.0036553,           0.0036553,            0.048555
