               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.067505,            0.024832,                   0,             0.34461,             0.56522,             0.28028,            0.077984,            0.065189,            0.027801,                   0,           0.0024243,           0.0024243,            0.072924
                  37,            0.067672,            0.026982,                   0,              0.3218,             0.63043,             0.35895,            0.072581,            0.067659,            0.025754,                   0,           0.0024751,           0.0024751,            0.072175
                  38,             0.06975,            0.024183,                   0,             0.31742,             0.58696,             0.32275,            0.065059,            0.069471,            0.024828,                   0,            0.002525,            0.002525,            0.071425
                  39,            0.067133,            0.025169,                   0,             0.28885,             0.65217,             0.41016,             0.09174,            0.061364,            0.024926,                   0,           0.0025742,           0.0025742,            0.070674
                  40,            0.065602,            0.023447,                   0,             0.38444,             0.47826,             0.43174,             0.15689,            0.057277,            0.023527,                   0,           0.0026225,           0.0026225,            0.069923
                  41,            0.067807,            0.022178,                   0,             0.40848,             0.34534,             0.35372,            0.083708,            0.059743,             0.02229,                   0,           0.0026701,           0.0026701,             0.06917
                  42,            0.066936,            0.020956,                   0,             0.39433,              0.6087,             0.33055,            0.086241,            0.058488,            0.021953,                   0,           0.0027169,           0.0027169,            0.068417
                  43,              0.0608,            0.022529,                   0,             0.24343,             0.62954,             0.21177,            0.043038,            0.058752,            0.021918,                   0,           0.0027629,           0.0027629,            0.067663
                  44,            0.060643,            0.022382,                   0,             0.56344,             0.67391,             0.58247,             0.17092,            0.054006,            0.021853,                   0,           0.0028081,           0.0028081,            0.066908
                  45,            0.061022,            0.021433,                   0,             0.53077,             0.67391,             0.59153,             0.20292,            0.050267,            0.021795,                   0,           0.0028525,           0.0028525,            0.066153
                  46,            0.063543,            0.021084,                   0,             0.31502,             0.76087,               0.374,             0.11843,            0.054532,            0.021573,                   0,           0.0028961,           0.0028961,            0.065396
                  47,            0.059654,            0.022927,                   0,             0.46446,             0.71646,             0.55454,              0.1083,             0.05342,            0.020559,                   0,            0.002939,            0.002939,            0.064639
                  48,            0.060849,             0.02092,                   0,             0.61338,             0.58634,              0.5444,             0.19321,            0.057945,            0.019833,                   0,            0.002981,            0.002981,            0.063881
                  49,            0.060846,            0.018545,                   0,             0.53965,             0.58614,             0.46575,             0.16256,            0.057615,            0.019241,                   0,           0.0030222,           0.0030222,            0.063122
                  50,            0.060496,            0.019194,                   0,             0.59914,             0.78261,             0.66029,             0.27015,            0.046828,            0.020087,                   0,           0.0030627,           0.0030627,            0.062363
                  51,            0.056127,            0.017949,                   0,             0.49876,             0.69225,             0.55038,             0.16142,            0.053239,            0.020126,                   0,           0.0031023,           0.0031023,            0.061602
                  52,            0.057822,            0.021078,                   0,             0.56921,             0.80435,             0.66994,             0.19068,            0.052961,            0.019559,                   0,           0.0031412,           0.0031412,            0.060841
                  53,            0.058156,            0.019862,                   0,             0.57889,             0.71723,             0.70718,             0.23961,            0.046402,            0.019975,                   0,           0.0031793,           0.0031793,            0.060079
                  54,            0.058319,            0.019402,                   0,             0.59004,             0.56522,             0.59078,             0.19147,            0.053162,            0.019453,                   0,           0.0032166,           0.0032166,            0.059317
                  55,            0.057725,            0.020289,                   0,             0.46036,             0.76037,              0.6442,               0.192,            0.047734,            0.019984,                   0,            0.003253,            0.003253,            0.058553
                  56,            0.060204,            0.017866,                   0,             0.62254,             0.71739,              0.6944,             0.19052,            0.049218,            0.020064,                   0,           0.0032887,           0.0032887,            0.057789
                  57,            0.053848,            0.019608,                   0,             0.68721,             0.71739,             0.65066,             0.21673,            0.049964,            0.019846,                   0,           0.0033236,           0.0033236,            0.057024
                  58,            0.053921,            0.020021,                   0,               0.889,             0.71739,             0.82775,             0.35476,            0.046886,            0.019452,                   0,           0.0033578,           0.0033578,            0.056258
                  59,            0.054378,            0.018673,                   0,             0.66984,             0.76087,             0.73467,             0.24414,            0.048691,            0.019529,                   0,           0.0033911,           0.0033911,            0.055491
                  60,             0.05242,            0.017634,                   0,             0.52937,             0.78249,             0.63328,             0.28033,            0.050339,            0.018395,                   0,           0.0034236,           0.0034236,            0.054724
                  61,             0.05631,            0.017991,                   0,             0.52529,             0.84783,             0.60707,             0.17022,            0.047429,            0.018482,                   0,           0.0034553,           0.0034553,            0.053955
                  62,            0.051197,            0.018428,                   0,             0.52341,             0.71739,             0.56563,             0.17952,            0.050444,             0.01769,                   0,           0.0034863,           0.0034863,            0.053186
                  63,            0.061456,            0.017477,                   0,              0.4779,             0.76087,             0.53597,             0.15236,            0.047805,            0.019088,                   0,           0.0035164,           0.0035164,            0.052416
                  64,            0.054866,            0.019277,                   0,             0.39152,             0.91304,             0.51908,             0.12877,            0.051172,            0.018085,                   0,           0.0035458,           0.0035458,            0.051646
                  65,            0.054418,             0.01684,                   0,             0.66017,             0.82609,             0.71883,             0.19475,            0.044632,            0.018639,                   0,           0.0035744,           0.0035744,            0.050874
                  66,            0.059602,            0.016789,                   0,             0.34527,              0.6087,             0.32673,            0.074235,             0.06327,            0.018659,                   0,           0.0036022,           0.0036022,            0.050102
                  67,            0.062463,            0.016595,                   0,              0.7075,             0.73913,             0.78487,             0.28107,            0.044011,             0.02073,                   0,           0.0036291,           0.0036291,            0.049329
                  68,            0.055153,            0.019088,                   0,              0.4938,             0.89067,             0.60526,             0.18603,            0.045682,            0.019347,                   0,           0.0036553,           0.0036553,            0.048555
                  69,            0.056428,            0.018596,                   0,             0.81234,             0.76087,              0.8173,             0.24569,            0.041676,            0.020588,                   0,           0.0036807,           0.0036807,            0.047781
                  70,            0.054033,            0.017792,                   0,              0.5901,             0.78261,             0.74411,             0.22534,             0.04729,            0.019134,                   0,           0.0037053,           0.0037053,            0.047005
                  71,            0.051419,            0.017153,                   0,             0.76408,             0.84783,             0.84019,              0.4226,            0.039801,            0.019526,                   0,           0.0037292,           0.0037292,            0.046229
                  72,            0.051067,            0.017653,                   0,             0.79847,             0.78261,                0.88,             0.34766,             0.04466,            0.018961,                   0,           0.0037522,           0.0037522,            0.045452
