               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.061807,            0.020296,             0.04421,             0.91662,             0.11404,             0.13059,            0.034146,            0.060268,            0.020482,            0.043714,           0.0027855,           0.0027855,            0.068685
                  38,            0.064692,            0.019939,            0.046275,              0.2189,             0.30032,            0.098841,            0.027323,            0.060893,            0.020157,            0.043255,           0.0028417,           0.0028417,            0.067842
                  39,            0.059413,            0.020459,            0.043035,              0.4919,             0.25338,              0.1887,            0.061059,            0.058204,            0.019664,            0.042973,            0.002897,            0.002897,            0.066997
                  40,            0.060873,            0.020484,            0.043962,             0.50245,             0.34325,             0.22475,            0.069187,            0.053945,            0.019608,            0.042622,           0.0029514,           0.0029514,            0.066151
                  41,            0.060003,            0.021045,            0.043587,              0.2672,             0.46316,             0.25844,            0.093788,            0.057239,            0.018878,            0.042062,           0.0030049,           0.0030049,            0.065305
                  42,            0.058039,            0.019576,            0.044408,              0.1855,             0.50984,             0.25524,             0.09421,            0.054436,             0.01922,            0.041923,           0.0030575,           0.0030575,            0.064458
                  43,            0.057424,            0.019666,            0.042742,             0.24417,             0.49182,              0.2741,             0.10343,            0.051471,            0.019409,            0.041954,           0.0031092,           0.0031092,            0.063609
                  44,             0.05567,            0.019391,            0.042326,             0.21532,             0.43064,             0.24119,            0.075085,            0.058003,            0.018065,            0.042006,           0.0031601,           0.0031601,             0.06276
                  45,             0.05923,            0.019367,            0.044356,             0.15515,             0.46756,              0.1722,            0.065163,            0.061233,            0.018171,            0.041839,             0.00321,             0.00321,             0.06191
                  46,            0.057579,            0.017671,            0.041817,             0.17637,             0.47065,             0.27686,             0.10189,            0.052478,            0.018612,            0.041054,           0.0032591,           0.0032591,            0.061059
                  47,            0.056276,              0.0176,            0.041442,             0.31498,             0.52892,             0.31768,             0.11985,            0.050705,            0.018443,            0.040709,           0.0033073,           0.0033073,            0.060207
                  48,            0.052972,             0.01886,            0.041561,             0.22045,             0.59325,             0.32377,             0.10624,            0.050558,            0.018023,            0.040443,           0.0033546,           0.0033546,            0.059355
                  49,            0.057993,            0.017415,             0.04163,             0.28702,             0.44217,             0.33917,             0.17142,            0.047864,            0.018759,            0.040661,            0.003401,            0.003401,            0.058501
                  50,            0.049363,            0.018922,            0.039909,             0.53274,             0.31427,             0.32362,              0.1462,            0.050498,             0.01759,            0.039501,           0.0034464,           0.0034464,            0.057646
                  51,            0.051022,            0.017564,            0.039094,             0.25135,             0.55466,             0.35404,             0.12597,            0.051602,            0.017507,            0.039248,           0.0034911,           0.0034911,            0.056791
                  52,            0.052615,            0.017726,            0.040057,             0.40741,             0.41927,             0.39162,             0.10533,            0.056181,            0.016924,            0.039127,           0.0035348,           0.0035348,            0.055935
